ID,FoodGroup,Descrip,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg,VitA_USRDA,VitB6_USRDA,VitB12_USRDA,VitC_USRDA,VitE_USRDA,Folate_USRDA,Niacin_USRDA,Riboflavin_USRDA,Thiamin_USRDA,Calcium_USRDA,Copper_USRDA,Magnesium_USRDA,Phosphorus_USRDA,Selenium_USRDA,Zinc_USRDA,category
16116,Legumes and Legume Products,"Soy flour, full-fat, roasted",441,34.8,21.86,33.67,7.61,9.7,6,0.351,0,0,1.98,227,3.286,0.941,0.412,188,2.221,5.82,369,2.077,476,7.5,3.58,0.006666667,0.206470588,0,0,0.132,0.5675,0.205375,0.723846154,0.343333333,0.156666667,0.002467778,0.878571429,0.68,0.136363636,0.325454545,Weight_Gain
18316,Baked Products,"Pie, coconut custard, commercially prepared",260,5.9,13.2,30.2,0,1.8,26,0.011,0.09,0.6,0,19,0.403,0.148,0.088,81,0.063,0.8,18,0.21,122,6.4,0.68,0.028888889,0.006470588,0.0375,0.006666667,0,0.0475,0.0251875,0.113846154,0.073333333,0.0675,7.00E-05,0.042857143,0.174285714,0.116363636,0.061818182,General_Food
15261,Finfish and Shellfish Products,"Fish, tilapia, raw",96,20.08,1.7,0,0,0,0,0.162,1.58,0,0.4,24,3.903,0.063,0.041,10,0.075,0.56,27,0.037,170,41.8,0.33,0,0.095294118,0.658333333,0,0.026666667,0.06,0.2439375,0.048461538,0.034166667,0.008333333,8.33E-05,0.064285714,0.242857143,0.76,0.03,Muscle_Gain
8417,Breakfast Cereals,"Cereals, QUAKER, Instant Oatmeal, Banana Bread, dry",368,8.97,4.85,75.7,29.45,6.7,0,1.14,0,0.9,0.44,0,11.31,1,0.98,277,0,10.07,92,0,315,0,2.07,0,0.670588235,0,0.01,0.029333333,0,0.706875,0.769230769,0.816666667,0.230833333,0,0.219047619,0.45,0,0.188181818,Weight_Gain
20022,Cereal Grains and Pasta,"Cornmeal, degermed, enriched, yellow",370,7.11,1.75,79.45,1.61,3.9,11,0.182,0,0,0.12,335,4.968,0.382,0.551,3,0.076,4.36,32,0.174,99,10.5,0.66,0.012222222,0.107058824,0,0,0.008,0.8375,0.3105,0.293846154,0.459166667,0.0025,8.44E-05,0.076190476,0.141428571,0.190909091,0.06,Weight_Gain
19095,Sweets,"Ice creams, vanilla",207,3.5,11,23.6,21.22,0.7,118,0.048,0.39,0.6,0.3,5,0.116,0.24,0.041,128,0.023,0.09,14,0.008,105,1.8,0.69,0.131111111,0.028235294,0.1625,0.006666667,0.02,0.0125,0.00725,0.184615385,0.034166667,0.106666667,2.56E-05,0.033333333,0.15,0.032727273,0.062727273,General_Food
19283,Sweets,"Frozen novelties, ice type, pop",79,0,0.24,19.23,13.66,0,0,0,0,0.7,0,0,0,0,0,0,0,0.54,1,0,0,0.2,0.15,0,0,0,0.007777778,0,0,0,0,0,0,0,0.002380952,0,0.003636364,0.013636364,General_Food
1145,Dairy and Egg Products,"Butter, without salt",717,0.85,81.11,0.06,0.06,0,684,0.003,0.17,0,2.32,3,0.042,0.034,0.005,24,0.016,0.02,2,0.004,24,1,0.09,0.76,0.001764706,0.070833333,0,0.154666667,0.0075,0.002625,0.026153846,0.004166667,0.02,1.78E-05,0.004761905,0.034285714,0.018181818,0.008181818,Weight_Gain
9091,Fruits and Fruit Juices,"Figs, canned, light syrup pack, solids and liquids",69,0.39,0.1,17.95,16.15,1.8,2,0.07,0,1,0.1,2,0.437,0.038,0.022,27,0.108,0.29,10,0.086,10,0.2,0.11,0.002222222,0.041176471,0,0.011111111,0.006666667,0.005,0.0273125,0.029230769,0.018333333,0.0225,0.00012,0.023809524,0.014285714,0.003636364,0.01,General_Food
14423,Beverages,"Dairy drink mix, chocolate, reduced calorie, with aspartame, powder, prepared with water and ice",29,2.19,0.23,4.51,2.89,0.8,18,0.01,0.18,0.5,0,3,0.11,0.17,0.01,127,0.079,0.68,19,0.064,78,1.9,0.32,0.02,0.005882353,0.075,0.005555556,0,0.0075,0.006875,0.130769231,0.008333333,0.105833333,8.78E-05,0.045238095,0.111428571,0.034545455,0.029090909,General_Food
